Time,Bps
1785,10464
1786,28032
1787,6208
1788,50272
1789,23632
1790,30656
1791,44352
1792,49520
1793,40624
1794,23200
1795,89056
1796,23440
1797,12384
1798,37728
1799,39696
1800,27136
1801,41968
1802,44880
1803,49504
1804,27120
1805,15056
1806,23344
1807,14112
1808,31728
1809,45696
1810,24848
1811,119072
1812,42464
1813,42480
1814,32288
1815,17312
1816,21328
1817,14112
1818,35344
1819,43808
1820,26736
1821,41968
1822,49520
1823,41056
1824,28976
1825,16352
1826,92592
1827,13680
1828,43296
1829,36384
1830,22096
1831,47664
1832,45152
1833,70528
1834,19696
1835,22912
1836,11856
1837,30304
1838,47120
1839,23952
1840,115072
1841,42496
1842,48976
1843,28976
1844,15584
1845,2256
1846,0
1847,0
1848,3552
1849,10656
1850,3552
1851,0
1852,4992
1853,12112
1854,6112
1855,15360
1856,0
1857,0
1858,4112
1859,3552
1860,0
1861,0
1862,11808
1863,0
1864,3552
1865,4112
1866,0
1867,0
1868,3552
1869,0
1870,0
1871,0
1872,1728
1873,336
1874,336
1875,11552
1876,3888
1877,3296
1878,0
1879,896
1880,5024
1881,336
1882,336
1883,336
1884,3632
1885,1008
1886,672
1887,672
1888,2064
1889,672
1890,336
1891,672
1892,3200
1893,3872
1894,672
1895,3408
1896,3536
1897,3024
1898,2688
1899,1680
1900,3376
1901,1184
1902,4080
1903,3536
1904,3360
1905,3616
1906,3616
1907,3712
1908,2576
1909,3648
1910,672
1911,1008
1912,3024
1913,3456
1914,2016
1915,3456
1916,3552
1917,2016
1918,2688
1919,2448
1920,2352
1921,2112
1922,1200
1923,3360
1924,3456
1925,3696
1926,1008
1927,1680
1928,3024
1929,3024
1930,1344
1931,2016
1932,1008
1933,336
1934,2688
1935,2352
1936,3024
1937,672
1938,1680
1939,3024
1940,3024
1941,1344
1942,2016
1943,672
1944,1344
1945,3024
1946,2352
1947,1344
1948,2352
1949,2016
1950,2688
1951,3024
1952,2016
1953,1344
1954,672
1955,1344
1956,3024
1957,2352
1958,1344
1959,2352
1960,2352
1961,2352
1962,3024
1963,1344
1964,2016
1965,1904
1966,672
1967,3024
1968,2352
1969,2688
1970,1008
1971,3408
1972,3024
1973,3024
1974,1344
1975,2016
1976,1344
1977,672
1978,3024
1979,4416
1980,3360
1981,1008
1982,2016
1983,3360
1984,3360
1985,2016
1986,1344
1987,2400
1988,1344
1989,3024
1990,10664
1991,1344
1992,2352
1993,2352
1994,4080
1995,3696
1996,2016
1997,1344
1998,672
1999,1344
2000,4080
2001,7848
2002,3464
2003,2352
2004,2352
2005,2352
2006,3024
2007,1776
2008,3312
2009,1344
2010,672
2011,3024
2012,3840
2013,3024
2014,672
2015,2976
2016,4304
2017,4304
2018,1776
2019,3296
2020,1344
2021,1104
2022,4944
2023,3632
2024,3456
2025,672
2026,1680
2027,3456
2028,3888
2029,2448
2030,1344
2031,1952
2032,4112
2033,3024
2034,3632
2035,2640
2036,2352
2037,2352
2038,2784
2039,3024
2040,2016
2041,2208
2042,2160
2043,1344
2044,3456
2045,8240
2046,1344
2047,3024
2048,3648
2049,2784
2050,3024
2051,1344
2052,2016
2053,1344
2054,1104
2055,4944
2056,2784
2057,3024
2058,672
2059,1680
2060,3456
2061,3024
2062,2640
2063,2016
2064,1344
2065,672
2066,4512
2067,2352
2068,3456
2069,1536
2070,1680
2071,3456
2072,3024
2073,2016
2074,2336
2075,1536
2076,2400
2077,3456
2078,2352
2079,1776
2080,2352
2081,3216
2082,2352
2083,3456
2084,2016
2085,1776
2086,1728
2087,2208
2088,54192
2089,39648
2090,1344
2091,2784
2092,2352
2093,2784
2094,3888
2095,1344
2096,3504
2097,2400
2098,1728
2099,3552
2100,2880
2101,3024
2102,2192
2103,2864
2104,3616
2105,4928
2106,2752
2107,92640
2108,1344
2109,672
2110,3024
2111,2912
2112,3616
2113,1008
2114,2016
2115,3360
2116,3024
2117,2016
2118,1904
2119,672
2120,3040
2121,184192
2122,2352
2123,1344
2124,2352
2125,1680
2126,3024
2127,3024
2128,2016
2129,1344
2130,672
2131,1344
2132,3360
2133,3536
2134,3680
2135,2352
2136,4128
2137,2352
2138,3696
2139,1344
2140,181264
2141,1008
2142,1008
2143,3024
2144,2352
2145,1344
2146,2352
2147,1680
2148,5376
2149,1344
2150,2016
2151,1344
2152,1344
2153,1344
2154,290240
2155,438464
2156,186144
2157,370416
2158,344696
2159,164760
2160,147584
2161,39248
2162,18832
2163,27328
2164,26000
2165,46944
2166,36752
2167,23552
2168,25664
2169,23008
2170,28032
2171,47808
2172,19088
2173,9192
2174,23784
2175,20416
2176,18576
2177,48800
2178,48976
2179,23552
2180,38808
2181,13176
2182,21984
2183,41904
2184,22848
2185,36320
2186,21416
2187,43744
2188,28360
2189,22992
2190,32304
2191,37840
2192,17352
2193,47696
2194,20616
2195,13600
2196,30224
2197,22200
2198,43760
2199,47456
2200,26736
2201,29880
2202,20080
2203,27192
2204,37856
2205,20176
2206,34376
2207,21856
2208,28368
2209,40472
2210,47488
2211,22992
2212,26616
2213,41616
2214,12456
2215,16912
2216,26448
2217,26760
2218,26544
2219,46928
2220,46496
2221,14504
2222,24320
2223,24760
2224,33120
2225,36016
2226,14784
2227,34456
2228,19104
2229,11576
2230,46944
2231,48784
2232,34016
2233,38400
2234,12648
2235,21048
2236,31760
2237,19840
2238,36320
2239,25216
2240,41800
2241,30744
2242,27040
2243,38880
2244,34128
2245,17960
2246,41568
2247,20720
2248,12824
2249,39520
2250,32096
2251,43656
2252,46600
2253,23904
2254,27920
2255,22464
2256,40152
2257,20368
2258,6008
2259,34672
2260,24224
2261,39504
2262,36760
2263,40608
2264,24856
2265,33136
2266,29456
2267,22992
2268,19752
2269,30856
2270,20624
2271,47472
2272,39056
2273,34920
2274,25776
2275,37288
2276,19616
2277,34672
2278,23200
2279,16536
2280,46128
2281,20520
2282,46928
2283,46144
2284,23000
2285,33488
2286,15816
2287,35808
2288,23024
2289,30432
2290,32760
2291,22016
2292,32984
2293,43744
2294,35040
2295,39232
2296,16872
2297,37216
2298,15832
2299,22768
2300,44480
2301,24008
2302,43408
2303,39248
2304,26152
2305,23344
2306,32080
2307,33064
2308,28128
2309,20616
2310,34752
2311,28608
2312,35984
2313,37224
2314,42536
2315,23328
2316,16064
2317,34656
2318,19368
2319,35760
2320,21208
2321,30464
2322,29968
2323,35456
2324,36424
2325,27248
2326,39144
2327,26528
2328,27936
2329,23288
2330,18816
2331,39688
2332,29136
2333,46592
2334,36864
2335,23976
2336,42112
2337,16344
2338,40048
2339,18320
2340,27936
2341,29864
2342,29384
2343,42352
2344,43936
2345,29632
2346,37952
2347,16008
2348,36776
2349,17792
2350,33952
2351,28328
2352,31632
2353,38176
2354,34568
2355,26720
2356,43968
2357,19720
2358,33696
2359,17792
2360,27000
2361,35840
2362,33048
2363,38616
2364,33048
2365,27160
2366,40256
2367,21136
2368,36984
2369,16552
2370,21928
2371,34376
2372,27088
2373,48784
2374,35432
2375,27496
2376,32216
2377,23960
2378,40240
2379,18424
2380,23008
2381,33488
2382,20104
2383,38176
2384,43744
2385,36248
2386,37408
2387,20160
2388,14776
2389,43888
2390,17424
2391,42024
2392,10104
2393,38808
2394,36760
2395,43232
2396,451768
2397,29424
2398,29528
2399,22032
2400,18256
2401,49120
2402,22936
2403,43744
2404,31632
2405,34376
2406,26528
2407,36880
2408,29336
2409,25320
2410,14968
2411,30360
2412,34688
2413,35096
2414,43744
2415,38104
2416,18112
2417,38736
2418,28896
2419,25656
2420,15056
2421,43080
2422,24432
2423,30944
2424,42880
2425,34904
2426,27496
2427,37320
2428,16344
2429,34480
2430,19560
2431,40256
2432,25848
2433,34568
2434,35896
2435,44752
2436,25656
2437,31280
2438,33488
2439,21944
2440,15392
2441,48016
2442,17896
2443,43320
2444,34040
2445,30856
2446,51240
2447,40368
2448,28040
2449,16360
2450,37848
2451,29456
2452,36424
2453,42880
2454,35912
2455,12032
2456,45200
2457,28896
2458,25128
2459,4504
2460,41832
2461,24328
2462,40560
2463,40136
2464,35472
2465,32216
2466,23960
2467,29000
2468,25216
2469,15832
2470,47488
2471,18760
2472,41440
2473,41888
2474,34056
2475,35488
2476,21664
2477,35008
2478,17896
2479,20960
2480,43416
2481,27600
2482,44184
2483,36232
2484,27496
2485,40256
2486,16536
2487,35984
2488,17896
2489,21504
2490,42448
2491,24328
2492,47456
2493,41800
2494,21928
2495,37320
2496,19808
2497,36424
2498,18784
2499,25320
2500,36968
